DirtWolf Double IPA,8.7,65,IPA - Imperial / Double,"This aggressively American-hopped Double IPA is loaded with Mosaic Citra Simcoe and Chinook hops delivering intense aroma and citrusy earth flavorsrnrnCitrus pine resin tropical fruit loaded hop nose from heavy Mosaic and Simcoe dry-hopping Full bodied with hop bitterness and resinous hop flavor Leaves a lasting impression",https://untappd.akamaized.net/site/beer_logos/beer-424316_978d3_sm.jpeg,Victory Brewing Company,Regional Brewery,Downingtown,PA,40.0061,-75.6942,https://untappd.akamaized.net/site/brewery_logos/brewery-1326_6ca88.jpeg,http://victorybeer.com/
Stone Ruination Double IPA 2.0,8.5,100,IPA - Imperial / Double,"Stone Ruination IPA was the first full-time brewed and bottled West Coast double IPA on the planet As craft beer has evolved over the years so too have techniques for maximizing hop flavors and aromas For the second incarnation of our groundbreaking India pale ale we employ dry hopping and hop bursting to squeeze every last drop of piney citrusy tropical essence from the hops that give this beer its incredible character We’ve also updated the name to Stone Ruination Double IPA 20 to reflect the imperial-level intensity that’s evident in every sip Join us in cheering this the second stanza in our “Liquid Poem to the Glory of the Hop”",https://untappd.akamaized.net/site/beer_logos/beer-1044097_0165f_sm.jpeg,Stone Brewing,Regional Brewery,Escondido,CA,33.1157,-117.12,https://untappd.akamaized.net/site/brewery_logos/brewery-1204_23541.jpeg,http://www.stonebrewing.com/
West Coast IPA (2014-),8.1,95,IPA - Imperial / Double,"As craft beer pioneers we embarked on an expedition to brew the benchmark West Coast IPA We ventured into the unknown and struck gold discovering a tantalizing menagerie of hops Simcoe for tropical and grapefruit zest Columbus for hop pungency Centennial for pine notes Citra for citrus zest and Cascade for floral aroma are layered throughout the brewing process West Coast IPA® exemplifies the Green Flash spirit of adventure and discovery",https://untappd.akamaized.net/site/beer_logos/beer-646818_228c6_sm.jpeg,Green Flash Brewing Company,Regional Brewery,San Diego,CA,32.9073,-117.178,https://untappd.akamaized.net/site/brewery_logos/brewery-609_22ae7.jpeg,http://www.greenflashbrew.com
Resin,9.1,103,IPA - Imperial / Double,"Resin is named after the sticky ooze that secretes from the lupulin glands of the hop cone",https://untappd.akamaized.net/site/beer_logos/beer-_117064_sm.jpeg,Sixpoint Brewery,Regional Brewery,Brooklyn,NY,40.6739,-74.0119,https://untappd.akamaized.net/site/brewery_logos/brewery-SixpointBrewery_1149.jpeg,http://sixpoint.com/
Raging Bitch Belgian IPA,8.3,60,IPA - Belgian,"This bitch has a lot going on Its sweet malt body is contrasted by pine and grapefruit hop flavors and exotic fruit notes from the Belgian yeast",https://untappd.akamaized.net/site/beer_logos/beer-5756_58e81_sm.jpeg,Flying Dog Brewery,Regional Brewery,Frederick,MD,39.3627,-77.4265,https://untappd.akamaized.net/site/brewery_logos/brewery-540_27433.jpeg,http://flyingdogbrewery.com
Furious,6.6,100,IPA - American,"Like Hops You’ll like this fire-hued beer This is the beer I have always dreamed of making This is the beer that would come to mind while spending the last two years tearing down walls hanging sheetrock moving kegs power washing the ceilings arguing with various agencies and cutting the water main Without Golden Promise malt made by family-owned Simpsons Malt Furious would just be pissed offed From Scotland this malt is still produced in the tradition of turning over the barley by hand resulting in a malt that is unsurpassed in its quality Golden Promise is also used extensively by premium whisky distilleries such as The Macallan This malt provides the backbone for the intense hop character Four American hop varieties are used at a rate of over three pounds per barrel The result is a rich malt sweetness infused with bright hop flavor and aroma from beginning to end Oh yeah it’s about 6 alcohol and around 100 IBUs ",https://untappd.akamaized.net/site/beer_logos/beer-_7808_sm_2fc6d05467299ca91110b10c9a9c27.jpeg,Surly Brewing Company,Regional Brewery,Minneapolis,MN,44.9732,-93.2098,https://untappd.akamaized.net/site/brewery_logos/brewery-2609_28b20.jpeg,http://www.surlybrewing.com
Pinner Throwback IPA,4.9,35,IPA - Session / India Session Ale,"At 49 ABV and 35 IBUs this drinkable IPA uses several varieties of hops to target the ever-evolving flavor With tropical fruits citrus juices pineapple and spice berry up front in the aroma and flavor the biscuit  toasted bread at the back balance out all the hops and make a great finish to go on to your next can of PINNER It’s the perfect beer for a little sip sip give ",https://untappd.akamaized.net/site/beer_logos/beer-912790_b5339_sm.jpeg,Oskar Blues Brewery,Regional Brewery,Longmont,CO,40.1391,-105.122,https://untappd.akamaized.net/site/brewery_logos/brewery-oskarBlues.jpg,http://www.oskarblues.com/
Hopsecutioner,7.3,71,IPA - American,"This Killer IPA earns its name by using six different types of hops while still remaining an aggressive well balanced beer",https://untappd.akamaized.net/site/beer_logos/beer-5714_7bd73_sm.jpeg,Terrapin Beer Co. ,Micro Brewery,Athens,GA,33.9804,-83.3957,https://untappd.akamaized.net/site/brewery_logos/brewery-1243_f9dda.jpeg,http://terrapinbeer.com/
Celebration Ale,6.8,65,IPA - American,"The long cold nights of winter are a little brighter with Celebration Ale Wonderfully robust and rich Celebration Ale is dry-hopped for a lively intense aroma Brewed especially for the holidays it is perfect for a festive gathering or for a quiet evening at home",https://untappd.akamaized.net/site/beer_logos/beer-16630_3170b_sm.jpeg,Sierra Nevada Brewing Co.,Regional Brewery,Chico,CA,39.7242,-121.815,https://untappd.akamaized.net/site/brewery_logos/brewery-1142_ddcfe.jpeg,http://www.sierranevada.com/
Maximus,8.2,72,IPA - Imperial / Double,"A raging mouthful of fresh Hops and Malt Caution May remove enamel from teeth",https://untappd.akamaized.net/site/beer_logos/beer-5771_1adab_sm.jpeg,Lagunitas Brewing Company,Macro Brewery,Petaluma,CA,38.2724,-122.662,https://untappd.akamaized.net/site/brewery_logos/brewery-765_b53eb.jpeg,http://www.LAGUNITAS.com/
IPA,6.3,50,IPA - American,"This mammouth India Pale Ale is loaded with intense hop character and subjected to an extensive dry-hopping process Our IPA is unfiltered leaving all the natural flavors intactrnrnThe Beer You’ve Been Training For",https://untappd.akamaized.net/site/beer_logos/beer-7053_b4c10_sm.jpeg,SweetWater Brewing Company ,Regional Brewery,Atlanta,GA,33.8081,-84.3812,https://untappd.akamaized.net/site/brewery_logos/brewery-1224_960f1.jpeg,http://sweetwaterbrew.com/
Long Hammer IPA,6.2,44,IPA - American,"Redhook Long Hammer IPA is a West Coast classic The generous addition of hops during the brewing and fermentation process gives our India Pale Ale its characteristic bitterness and piney citrus aroma and flavor  Piney aromas and citrus flavors come from a generous addition of hops during the boil and dry-hopping at the end of fermentation Tracing its heritage from another Redhook classic beer Ballard Bitter Long Hammer IPA is one of America’s favorite IPAs and Seattle’s 1 local IPA",https://untappd.akamaized.net/site/beer_logos/beer-6504_869af_sm.jpeg,Redhook Brewery,Regional Brewery,Seattle,WA,47.7348,-122.149,https://untappd.akamaized.net/site/brewery_logos/brewery-1051_5b616.jpeg,http://redhook.com/
Loose Cannon,7.25,45,IPA - American,"Our flagship beer Loose Cannon wins people over at first smell The carefully cultivated interplay of Simcoe Palisade and Centennial creates a most fragrant IPA—its nose bursts with notes of grapefruit herbs and pine Bitterness is somewhat subdued by the floral quality that pervades the taste The color is burnished gold and the mouthfeel is creamy A strong malt backbone balances out the triple-hopped beer Its nickname Hop3 comes from the brewing process our brewers hop Loose Cannon in the boil the hopback and the fermenter It won a second place CAMRA award at the 2010 Great British Beer Festival",https://untappd.akamaized.net/site/beer_logos/beer-18311_36a98_sm.jpeg,Heavy Seas Beer,Regional Brewery,Baltimore,MD,39.2308,-76.6751,https://untappd.akamaized.net/site/brewery_logos/brewery-385_4c3de.jpeg,http://www.hsbeer.com/
Brew Free! or Die IPA,7,70,IPA - American,"Brewed with serious Weast Coast attitude This aromatic golden IPA starts with a sucker punch of six different hops to the nose quickly balanced by a solid malt backbone Starts big and finishes cleannnColor Deep GoldnMalts Two-Row Pale Imported Munich  Light CrystalnBittering Hops ColumbusnFinishing Hops Cascade CentennialnYeast Top Fermenting Ale Yeast",https://untappd.akamaized.net/site/beer_logos/beer-3985_68c88_sm.jpeg,21st Amendment Brewery,Regional Brewery,San Francisco,CA,37.7824,-122.393,https://untappd.akamaized.net/site/brewery_logos/brewery-4339_e654c.jpeg,http://21st-amendment.com/
2XIPA,8.2,80,IPA - Imperial / Double,"An India Pale Ale kicked up a notch to form a true Double IPA feverishly hoppy with a malty backbone and higher-than-standard alcohol content Citrusy hops tease the senses with aromatics and lingering bitterness while just the right balance of malts disguises 2XIPA’s extra gravitynIn 2016 we took this world-class double IPA and made it perfect by increasing its Simcoe dry hop by 150 Double your expectations this is an ale that demands reverence",https://untappd.akamaized.net/site/beer_logos/beer-5742_59086_sm.jpeg,Southern Tier Brewing Company,Regional Brewery,Lakewood,NY,42.0889,-79.3482,https://untappd.akamaized.net/site/brewery_logos/brewery-4586_47eba.jpeg,http://www.stbcbeer.com/
Snake Dog IPA,7.1,60,IPA - American,"Big citrus notably grapefruit and pine hop aromas and flavors with subtle caramel malt notes",https://untappd.akamaized.net/site/beer_logos/beer-3759_a0860_sm.jpeg,Flying Dog Brewery,Regional Brewery,Frederick,MD,39.3627,-77.4265,https://untappd.akamaized.net/site/brewery_logos/brewery-540_27433.jpeg,http://flyingdogbrewery.com
Lunch,7,0,IPA - American,"Our “East Coast” version of a West Coast-style IPA  Intense hop flavors and aromas of tropical and citrus fruits and pine dominate  A subtle malt sweetness brings the beer into balance",https://untappd.akamaized.net/site/beer_logos/beer-49892_ce39b_sm.jpeg,Maine Beer Company,Micro Brewery,Freeport,ME,43.8391,-70.1214,https://untappd.akamaized.net/site/brewery_logos/brewery-2874_38925.jpeg,http://www.mainebeercompany.com
